Label,Activity (Supply Chain Scope of shipment),HBL/HAWB,Delrec,Container ID,Container #,Weight (actual kgs),Volume (cbm),Weight (chargeable kgs),# of shipments,Origin Name,Orig ID,Origin Date,Mode used between Origin and Load,Carrier (Origin to load),Load Name,Load ID,Load date,Departure Date,Date,Date_for_CD,,,Mode used between Load and Discharge,Sub-Mode,#sectors,Carrier (Load to Discharge),Vessel Name or Type,Trip ID,Discharge Name,Disch ID,Disch Date,Mode used between Discharge and Destination,Carrier (Discharge to Destination),Destination Name,Dest ID,Destination date,Container Type,Container Length,Container Height,Customer account number,Customer name,MAWB
,,HKG127297728,,OOLU3661280,,3345.3,27.02,,1,Shenzhen,,,Ocean,,Hong Kong,,,29/3/12,29/3/12,29/3/12,,,Ocean,FCL,,,,,Tokyo,,,Road,,Tokyo,,2/4/12,DRY,,,,,
,,HKG127297729,,OOLU8438900,,7972.6,58.68,,1,Shenzhen,,,Ocean,,Hong Kong,,,29/3/12,29/3/12,29/3/12,,,Ocean,FCL,,,,,Tokyo,,,Road,,Tokyo,,2/4/12,DRY,,,,,
,,SHA120309402,,TWCU2052480,,4079.95,25.55,,1,Shanghai,,,Ocean,,Shanghai,,,30/3/12,30/3/12,30/3/12,,,Ocean,FCL,,,,,Tokyo,,,Road,,Tokyo,,2/4/12,DRY,,,,,
,,SHA120309512,,FSCU6474541,,7644,66.38,,1,Shanghai,,,Ocean,,Shanghai,,,30/3/12,30/3/12,30/3/12,,,Ocean,FCL,,,,,Tokyo,,,Road,,Tokyo,,2/4/12,DRY,,,,,
,,SHA120309513,,CRXU9912661,,7644,66.38,,1,Shanghai,,,Ocean,,Shanghai,,,30/3/12,30/3/12,30/3/12,,,Ocean,FCL,,,,,Tokyo,,,Road,,Tokyo,,2/4/12,DRY,,,,,
,,SHA120309514,,CRXU9890900,,6472,55.92,,1,Shanghai,,,Ocean,,Shanghai,,,30/3/12,30/3/12,30/3/12,,,Ocean,FCL,,,,,Tokyo,,,Road,,Tokyo,,2/4/12,DRY,,,,,
,,SHA120309515,,DFSU6831983,,4546.6,40.02,,1,Shanghai,,,Ocean,,Shanghai,,,30/3/12,30/3/12,30/3/12,,,Ocean,FCL,,,,,Tokyo,,,Road,,Tokyo,,2/4/12,DRY,,,,,
,,SHA120309893,,TWCU8013840,,7514.26,59.33,,1,Shanghai,,,Ocean,,Shanghai,,,30/3/12,30/3/12,30/3/12,,,Ocean,FCL,,,,,Tokyo,,,Road,,Tokyo,,2/4/12,DRY,,,,,
,,SZV120310077,,TWCU4037139,,8289,42.9,,1,Shanghai,,,Ocean,,Shanghai,,,30/3/12,30/3/12,30/3/12,,,Ocean,FCL,,,,,Tokyo,,,Road,,Tokyo,,2/4/12,DRY,,,,,
,,SHA120310211,,TWCU8023703,,4132.7,39.78,,1,Shanghai,,,Ocean,,Shanghai,,,30/3/12,30/3/12,30/3/12,,,Ocean,FCL,,,,,Tokyo,,,Road,,Tokyo,,2/4/12,DRY,,,,,
,,SHA120310838,,CRXU9853677,,3522.54,36.32,,1,Shanghai,,,Ocean,,Shanghai,,,30/3/12,30/3/12,30/3/12,,,Ocean,FCL,,,,,Tokyo,,,Road,,Tokyo,,2/4/12,DRY,,,,,
,,SHA120310839,,TWCU8024926,,5684.8,57.12,,1,Shanghai,,,Ocean,,Shanghai,,,30/3/12,30/3/12,30/3/12,,,Ocean,FCL,,,,,Tokyo,,,Road,,Tokyo,,2/4/12,DRY,,,,,
,,SHA120310840,,DFSU6642188,,7161.62,38.76,,1,Shanghai,,,Ocean,,Shanghai,,,30/3/12,30/3/12,30/3/12,,,Ocean,FCL,,,,,Tokyo,,,Road,,Tokyo,,2/4/12,DRY,,,,,
,,SHA120310841,,GESU5511939,,6439.46,37.96,,1,Shanghai,,,Ocean,,Shanghai,,,30/3/12,30/3/12,30/3/12,,,Ocean,FCL,,,,,Tokyo,,,Road,,Tokyo,,2/4/12,DRY,,,,,
,,SZV120311989,,TWCU4013754,,8003,46.13,,1,Shanghai,,,Ocean,,Shanghai,,,2/4/12,2/4/12,2/4/12,,,Ocean,FCL,,,,,Tokyo,,,Road,,Tokyo,,5/4/12,DRY,,,,,
,,HKG127300086,,BSIU9248171,,6865,41.91,,1,Shenzhen,,,Ocean,,Hong Kong,,,3/4/12,3/4/12,3/4/12,,,Ocean,FCL,,,,,Tokyo,,,Road,,Tokyo,,7/4/12,DRY,,,,,
,,HKG127300091,,HMCU9040637,,8756.9,57.88,,1,Shenzhen,,,Ocean,,Hong Kong,,,3/4/12,3/4/12,3/4/12,,,Ocean,FCL,,,,,Tokyo,,,Road,,Tokyo,,7/4/12,DRY,,,,,
,,SHA120311990,,TWCU8028161,,4815.6,30.88,,1,Shanghai,,,Ocean,,Shanghai,,,6/4/12,6/4/12,6/4/12,,,Ocean,FCL,,,,,Tokyo,,,Road,,Tokyo,,9/4/12,DRY,,,,,
